Portfolio,Cyclical,Defensive,Sensitive,Total Assets_num,Scale
FXAIX,43542290000,13276370000,86839370000,3.50E+11,Large
VINIX,34965590000,10689400000,69762400000,2.81E+11,Large
VTSMX,27494400000,8457750000,54800850000,2.69E+11,Large
VFINX,31511340000,9610200000,62744490000,2.53E+11,Large
VPMCX,7242200000,14654370000,23707120000,73900000000,Large
FSKAX,7285920000,2230960000,13992920000,70600000000,Large
SWPPX,7835900000,2393950000,15595600000,63500000000,Large
FALCX,5227200000,1675080000,9711900000,59400000000,Large
VITPX,3567000000,1096200000,7116600000,34800000000,Large
TIEIX,3460800000,1055040000,6609120000,33600000000,Large
PREIX,4269900000,1039340000,7983720000,33100000000,Large
WFSPX,3853030000,1176880000,7480700000,31300000000,Large
PRBLX,5875600000,5073440000,11011200000,29600000000,Large
JMUEX,6462220000,2249520000,6633200000,20600000000,Large
SWTSX,1769790000,539760000,3524010000,17300000000,Large
VTCIX,1845350000,534400000,3628910000,16700000000,Large
FLCPX,1925100000,587450000,3735500000,15500000000,Large
VFTNX,1807480000,516840000,4115740000,14600000000,Large
SNXFX,1490560000,454240000,2968880000,13600000000,Large
HGIYX,1989820000,1403000000,3320840000,12200000000,Large
NOSIX,1550400000,376800000,2896800000,12000000000,Large
DFUSX,1453140000,443430000,2896920000,11700000000,Large
USSPX,1406980000,382130000,2491570000,10300000000,Large
JENSX,1387740000,3179480000,4933850000,10100000000,Large
GQEFX,1160560000,1884130000,3729990000,8900000000,Medium
TISPX,1008450000,309420000,1939140000,8100000000,Medium
PRCOX,908800000,380800000,2132800000,8000000000,Medium
INGIX,975650000,297830000,1840700000,7900000000,Medium
HLEIX,964080000,294060000,1870440000,7800000000,Medium
PIODX,2119260000,808860000,2978820000,7800000000,Medium
TISCX,569520000,429840000,1166400000,7200000000,Medium
SSAQX,1114350000,523020000,2023770000,6900000000,Medium
TAGRX,2028000000,689400000,2017200000,6000000000,Medium
MRGAX,672600000,497960000,1377060000,5900000000,Medium
SPINX,698250000,212610000,1354890000,5700000000,Medium
DFSIX,443340000,266220000,958500000,5400000000,Medium
JDESX,684720000,363420000,1413180000,5400000000,Medium
CISIX,524990000,235000000,999220000,4700000000,Medium
MAEIX,583280000,141680000,1063060000,4600000000,Medium
FSAEX,455620000,161120000,893000000,3800000000,Medium
NINDX,459170000,140230000,913900000,3700000000,Medium
AFDAX,775440000,201600000,907560000,3600000000,Medium
PMYYX,575400000,317100000,958300000,3500000000,Medium
MALRX,364140000,242760000,826200000,3400000000,Medium
HIAGX,540540000,423060000,902550000,3300000000,Medium
SENCX,730880000,409280000,1241920000,3200000000,Medium
DSPIX,380680000,115940000,739040000,3100000000,Medium
GEQYX,372000000,99820000,698120000,3100000000,Medium
JLPSX,327860000,209820000,961220000,2600000000,Medium
DGAGX,573000000,321000000,1026750000,2500000000,Medium
LCIAX,260130000,76360000,488750000,2300000000,Medium
PIOTX,402150000,304290000,675780000,2100000000,Medium
VVPLX,872800000,56400000,1058600000,2000000000,Medium
AWEIX,368050000,183940000,520880000,1700000000,Medium
MLCGX,150080000,63360000,368960000,1600000000,Medium
SVSPX,193440000,58880000,365440000,1600000000,Medium
FLCEX,147140000,82600000,375340000,1400000000,Medium
MUIGX,130620000,37660000,266420000,1400000000,Medium
NSEPX,253820000,191520000,442540000,1400000000,Medium
MUIFX,187590000,90870000,360100000,1300000000,Medium
GSCGX,154440000,43440000,291960000,1200000000,Medium
IIRLX,179640000,54360000,345600000,1200000000,Medium
HCMIX,43890000,880000,8800000,1100000000,Medium
NEFSX,275110000,63910000,299200000,1100000000,Medium
TNWCX,61254560,66572480,149492640,984800000,Small
PSIFX,107161390,32652810,208216970,884900000,Small
BRGKX,82483430,25038270,158876470,751900000,Small
VCGAX,59555520,22471180,114285940,689300000,Small
WMLIX,72556320,20566140,140003040,638700000,Small
BTIIX,76569700,23322600,152399000,617000000,Small
SUSIX,93252420,43832130,169391100,582100000,Small
DRTHX,154124270,88869380,199106860,547900000,Small
YCGEX,229186900,65103900,111894020,529300000,Small
BIRIX,74545040,17874560,118063500,507800000,Small
MTSMX,22785180,14517140,72922190,480700000,Small
PNRAX,79082400,24010560,133439640,476400000,Small
QIACX,58069200,41790200,94507400,446000000,Small
MXXVX,213977360,15982620,127605530,364900000,Small
VNSYX,41750640,44274780,125297400,227400000,Small
USBOX,33134670,45686660,89112670,215300000,Small
PBFDX,61358800,41735800,75453600,211000000,Small
JHJRX,29646070,15574600,58821280,181100000,Small
JFCIX,55648410,11813170,49552880,164300000,Small
DTMGX,31507920,28655910,62819670,150900000,Small
JIISX,19701270,22474680,44101530,143700000,Small
SRFMX,33410750,20008980,45138860,124900000,Small
MEFOX,33965120,9611800,52551360,102800000,Small
MUOSX,31602800,15686600,30028400,82000000,Small
CWCFX,11948220,7424280,25335540,73800000,Small
LCISX,13987040,8930240,17021120,68800000,Small
PAGRX,10905750,4499850,18054420,39300000,Small
GINGX,4817400,3217200,7184100,21000000,Small
BKTSX,,,,,Small
SSEYX,,,,,Small
